-17,51,9
-14,50,12
-12,51,11
-11,56,11
-12,62,10
-11,67,10
-12,65,11
-14,60,6
-15,84,10
-16,75,13
-23,66,11
-19,50,14
-16,41,11
-13,54,9
-10,64,11
-18,71,9
-14,69,9
-12,67,11
-12,53,11
-13,51,8
-18,52,3
-17,55,5
-19,57,4
-19,59,10
-21,61,14
-26,70,17
-26,74,19
-23,82,16
-21,86,15
-14,72,12
-8,71,9
-4,58,11
8,43,21
-7,55,9
-11,66,11
-28,79,9
-39,80,-8
-32,83,-10
-21,73,-3
-18,67,-2
-9,62,2
-11,59,-3
-15,52,-14
-21,49,-14
-24,46,-16
-25,49,-15
-20,50,-13
-14,53,-6
-14,57,-3
-16,65,-8
-21,79,-4
-26,72,-3
-16,55,6
-5,60,31
7,71,58
5,81,97
-35,74,74
-58,71,11
-38,59,7
-33,51,-10
-48,46,-30
-45,47,-32
-44,53,-32
-44,56,-31
-31,62,-24
-23,70,-15
-21,71,-10
-10,65,-8
-1,61,-6
10,67,9
17,67,17
16,64,20
2,77,37
5,68,44
-4,70,35
-7,70,29
-8,69,17
0,61,8
1,59,4
2,56,0
-1,59,-3
-13,65,-7
-20,66,-1
-28,65,-4
-34,60,-9
-34,59,-8
-21,57,0
-19,58,1
-10,62,11
-5,62,17
-1,60,17
4,56,17
10,60,26
10,63,25
2,65,17
-5,64,9
-19,85,-3
-28,99,-7
-40,82,-13
-40,66,-7
-33,55,-1
-20,41,3
-15,45,-1
-19,67,-6
-25,63,-14
-27,62,-19
-41,52,-27
-48,45,-22
-44,40,-5
-43,42,-2
-44,49,7
-40,53,10
-46,59,9
-54,93,35
-11,72,26
-33,78,4
-49,68,-23
-44,63,-25
-32,60,-24
-27,55,-23
-22,47,-16
-13,47,-6
-12,52,-3
-19,60,-4
-28,64,-10
-34,67,-16
-29,61,-15
-26,58,-12
-20,54,-6
-17,53,-3
-14,51,2
-15,53,4
-16,55,5
-15,60,3
-16,62,0
-15,62,1
-15,68,2
-17,84,2
-23,76,9
-26,68,14
-22,46,17
-14,37,13
-12,57,6
-22,78,7
-27,74,8
-33,69,11
-33,65,10
-30,55,8
-30,55,7
-30,56,2
-17,57,4
-20,58,3
-20,56,3
-23,57,1
-21,64,1
-21,71,-1
-18,84,0
-24,87,-1
-23,74,-1
-22,64,3
-15,46,4
-12,42,6
-6,47,3
-5,56,4
-7,72,2
-18,69,-5
-19,67,-9
-15,59,-2
-13,55,2
-11,55,4
-15,58,5
-16,59,6
-16,60,6
-16,61,7
-15,64,9
-15,66,10
-15,68,11
-18,65,11
-19,62,12
-22,58,10
-24,60,9
-26,64,8
-30,73,7
-30,75,10
-23,60,13
-20,56,11
-18,56,10
-23,59,7
-25,61,6
-26,64,4
-23,65,4
-14,73,7
-12,79,7
-16,78,5
-12,73,7
-8,68,7
-7,57,5
-8,53,4
-9,50,3
-12,47,2
-13,48,4
-15,52,4
-18,53,4
-26,60,1
-36,86,-5
-38,81,-4
-27,64,0
-19,61,3
-17,57,8
-24,54,4
-27,52,0
-32,51,-7
-32,51,-10
-30,55,-16
-31,56,-18
